indice_tiempo,region_de_destino,categoria_del_hotel,tasa_de_ocupacion_plazas,observaciones
2013-01-01,Córdoba,1 y 2 estrellas,0.49,""
2013-01-01,Córdoba,3 estrellas/boutiques/aparts,0.52,""
2013-01-01,Córdoba,4 y 5 estrellas,0.48,""
2013-01-01,Córdoba,Para Hoteles,0.6,""
2013-01-01,Córdoba,Total,0.54,""
2013-01-01,Litoral,1 y 2 estrellas,0.3,""
2013-01-01,Litoral,3 estrellas/boutiques/aparts,0.33,""
2013-01-01,Litoral,4 y 5 estrellas,0.4,""
2013-01-01,Litoral,Para Hoteles,0.34,""
2013-01-01,Litoral,Total,0.34,""
2013-01-01,Norte,1 y 2 estrellas,0.31,""
2013-01-01,Norte,3 estrellas/boutiques/aparts,0.27,""
2013-01-01,Norte,4 y 5 estrellas,0.31,""
2013-01-01,Norte,Para Hoteles,0.29,""
2013-01-01,Norte,Total,0.29,""
2013-01-01,Patagonia,1 y 2 estrellas,0.45,""
2013-01-01,Patagonia,3 estrellas/boutiques/aparts,0.52,""
2013-01-01,Patagonia,4 y 5 estrellas,0.58,""
2013-01-01,Patagonia,Para Hoteles,0.49,""
2013-01-01,Patagonia,Total,0.51,""
2013-02-01,Buenos Aires,1 y 2 estrellas,0.5,""
2013-02-01,Buenos Aires,3 estrellas/boutiques/aparts,0.53,""
2013-02-01,Buenos Aires,4 y 5 estrellas,0.54,""
2013-02-01,Buenos Aires,Para Hoteles,0.54,""
2013-02-01,Buenos Aires,Total,0.53,""
2013-02-01,CABA,1 y 2 estrellas,0.3,""
2013-02-01,CABA,3 estrellas/boutiques/aparts,0.37,""
2013-02-01,CABA,4 y 5 estrellas,0.44,""
2013-02-01,CABA,Para Hoteles,0.34,""
2013-02-01,CABA,Total,0.38,""
2013-02-01,Cuyo,1 y 2 estrellas,0.22,""
2013-02-01,Cuyo,3 estrellas/boutiques/aparts,0.4,""
2013-02-01,Cuyo,4 y 5 estrellas,0.38,""
2013-02-01,Cuyo,Para Hoteles,0.28,""
2013-02-01,Cuyo,Total,0.32,""
2013-02-01,Córdoba,1 y 2 estrellas,0.45,""
2013-02-01,Córdoba,3 estrellas/boutiques/aparts,0.52,""
2013-02-01,Córdoba,4 y 5 estrellas,0.5,""
2013-02-01,Córdoba,Para Hoteles,0.5,""
2013-02-01,Córdoba,Total,0.49,""
2013-02-01,Litoral,1 y 2 estrellas,0.33,""
2013-02-01,Litoral,3 estrellas/boutiques/aparts,0.34,""
2013-02-01,Litoral,4 y 5 estrellas,0.39,""
2013-02-01,Litoral,Para Hoteles,0.34,""
2013-02-01,Litoral,Total,0.35,""
2013-02-01,Norte,1 y 2 estrellas,0.26,""
2013-02-01,Norte,3 estrellas/boutiques/aparts,0.28,""
2013-02-01,Norte,4 y 5 estrellas,0.3,""
