periodo;rama_sector;fbkf_$2004
2005;020. Silvicultura, extracción de madera y servicios conexos; 114 
2005;B - Pesca y servicios conexos;-125 
2005;050. Pesca y servicios conexos;-125 
2005;C - Explotación de minas y canteras; 11.321 
2005;101. Extracción y aglomeración de carbón; 13 
2005;102. Extracción y aglomeración de lignito; -   
2005;103. Extracción y aglomeración de turba;-0 
2005;111. Extracción de petróleo crudo y gas natural; 8.526 
2005;112. Actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección; 850 
2005;120. Extracción de minerales y concentrados de uranio y torio; 1 
2005;131. Extracción de minerales de hierro; 1.231 
2005;132. Extracción de minerales metalíferos no ferrosos, excepto minerales de uranio y torio; 316 
2005;141. Extracción de piedra, arena y arcillas; 58 
2005;142. Explotación de minas y canteras n.c.p.; 327 
2005;D - Industria manufacturera; 9.487 
2005;151. Producción y procesamiento de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas; 861 
2005;152.Elaboración de productos lácteos;-96 
2005;153. Elaboración de productos de molinería, almidones y productos derivados del almidón y de alimentos preparados para animales; 150 
2005;154. Elaboración de productos alimenticios n.c.p.; 224 
2005;155. Elaboración de bebidas; 1.240 
2005;160. Elaboración de productos de tabaco;-12 
2005;171. Fabricación de hilados y tejidos, acabado de productos textiles;-107 
2005;172. Fabricación de productos textiles n.c.p.;-17 
2005;173. Fabricación de tejidos de punto y artículos de punto y ganchillo; 64 
2005;181. Confección de prendas de vestir, excepto prendas de piel; 179 
2005;"182. Terminación y teñido de pieles; fabricación de artículos de piel";-1 
2005;"191. Curtido y terminación de cueros; fabricación de artículos de marroquinería y talabartería"; 10 
2005;192. Fabricación de calzado y de sus partes; 99 
2005;201. Aserrado y cepillado de madera; 18 
2005;202. Fabricación de productos de madera, corcho, paja y materiales trenzables; 45 
2005;210. Fabricación de papel y productos de papel; 898 
2005;221. Edición; 71 
2005;222. Impresión y servicios conexos; 21 
2005;223. Reproducción de grabaciones; 0 
2005;231. Fabricación de productos de hornos de coque; 4 
2005;232. Fabricación de productos de la refinación del petróleo; 645 
2005;233. Elaboración de combustible nuclear; 0 
2005;241. Fabricación de sustancias químicas básicas;-444 
2005;242. Fabricación de productos químicos n.c.p.; 1.622 
2005;243. Fabricación de fibras manufacturadas;-10 
2005;251. Fabricación de productos de caucho; 510 
2005;252. Fabricación de productos de plástico; 436 
2005;261. Fabricación de vidrio y productos de vidrio; 95 
2005;269. Fabricación de productos minerales no metálicos n.c.p.; 438 
2005;271. Industrias básicas de hierro y acero; 708 
2005;272. Fabricación de productos primarios de metales preciosos y metales no ferrosos; 405 
2005;273. Fundición de metales; 86 
2005;281. Fabricación de productos metálicos para uso estructural, tanques, depósitos y generadores de vapor; 104 
2005;"289. Fabricación de productos elaborados de metal n.c.p.; servicios de trabajo de metales"; 229 
2005;291. Fabricación de maquinaria de uso general; 206 
2005;292. Fabricación de maquinaria de uso especial; 205 
2005;293. Fabricación de aparatos de uso doméstico n.c.p.; 82 
2005;300. Fabricación de maquinaria de oficina, contabilidad e informática; 14 
2005;311. Fabricación de motores, generadores y transformadores eléctricos; 98 
2005;312. Fabricación de aparatos de distribución y control de energía eléctrica; 15 
2005;313. Fabricación de hilos y cables aislados; 11 
2005;314. Fabricación de acumuladores y de pilas y baterías primarias; 6 
2005;315. Fabricación de lámparas eléctricas y equipo de iluminación; 19 
2005;319. Fabricación de equipo eléctrico n.c.p.; 7 
2005;321. Fabricación de tubos, válvulas y otros componentes electrónicos; 3 
2005;322. Fabricación de transmisores de radio y televisión y de aparatos para telefonía y telegrafía con hilos; 46 
2005;323. Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y video, y productos conexos;-37 
2005;331. Fabricación de aparatos e instrumentos médicos y de aparatos para medir, verificar, ensayar, navegar y otros fines, excepto instrumentos de óptica; 25 
2005;332. Fabricación de instrumentos de óptica y equipo fotográfico;-3 
2005;333. Fabricación de relojes; 0 
2005;341. Fabricación de vehículos automotores;-483 
2005;"342. Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques"; 28 
2005;"343. Fabricación de partes; piezas y accesorios para vehículos automotores y sus motores"; 732 
2005;351. Construcción y reparación de buques y embarcaciones n.c.p.;-11 
2005;352. Fabricación de locomotoras y de material rodante para ferrocarriles y tranvías; 31 
2005;353. Fabricación y reparación de aeronaves; 19 
2005;359. Fabricación de equipo de transporte n.c.p.; 11 
2005;361. Fabricación de muebles y colchones; 44 
2005;369. Industrias manufactureras n.c.p.; 5 
2005;371. Reciclamiento de desperdicios y desechos metálicos;-70 
2005;372. Reciclamiento de desperdicios y desechos no metálicos; 9 
2005;E - Electricidad, gas y agua; 316 
2005;401. Generación, transporte y distribución de energía eléctrica; 153 
2005;402. Fabricación de gas y distribución de combustibles gaseosos por tuberías; 8 
2005;403. Suministro de vapor y agua caliente;-0 
2005;410. Captación, depuración y distribución de agua; 155 
2005;F - Construcción; 7.430 
2005;451. Preparación de terrenos para obras; 200 
2005;452. Construcción de edificios y sus partes y obras de ingeniería civil; 7.138 
2005;453. Instalaciones para edificios y obras de ingeniería civil; 36 
2005;454. Terminación de edificios y obras de ingeniería civil; 19 
2005;455. Alquiler de equipo de construcción o demolición dotado de operarios; 37 
2005;G - Comercio al por mayor y al por menor, reparación de vehículos automotores, motocicletas efectos personales y enseres domésticos; 5.164 
2005;501. Venta de vehículos automotores, excepto motocicletas; 286 
2005;502. Mantenimiento y reparación de vehículos automotores, excepto motocicletas; 24 
2005;503. Venta de partes, piezas y accesorios de vehículos automotores; 107 
2005;504. Venta, mantenimiento y reparación de motocicletas y de sus partes, piezas y accesorios; 4 
2005;505. Venta al por menor de combustible para vehículos automotores y motocicletas; 432 
2005;511. Venta al por mayor en comisión o consignación; 639 
2005;512. Venta al por mayor de materias primas agropecuarias, de animales vivos, alimentos, bebidas y tabaco, excepto en comisión o consignación; 518 
2005;513. Venta al por mayor de artículos de uso doméstico y/o personal; 297 
2005;514. Venta al por mayor de productos intermedios, desperdicios y desechos no agropecuarios; 559 
2005;515. Venta al por mayor de máquinas, equipo y materiales conexos;-304 
2005;519. Venta al por mayor de mercancías n.c.p.; 312 
2005;521. Venta al por menor excepto la especializada; 1.819 
2005;522. Venta al por menor de productos alimentarios, bebidas y tabaco en comercios especializados; 66 
2005;523. Venta al por menor de productos n.c.p. excepto los usados, en comercios especializados; 406 
2005;524. Venta al por menor de artículos usados excluidos automotores y motocicletas; 2 
2005;525. Venta al por menor no realizada en establecimientos;-2 
2005;526. Reparación de efectos personales y enseres domésticos; 0 
2005;H - Servicios de hotelería y restaurantes; 1.174 
2005;551. Servicios de alojamiento en hoteles, campamentos y otros tipos de hospedaje temporal; 712 
2005;552. Servicios de expendio de comidas y bebidas; 462 
2005;I - Servicios de transporte, de almacenamiento y de comunicaciones; 7.557 
2005;601. Servicio de transporte ferroviario;-369 
2005;602. Servicio de transporte automotor; 2.576 
2005;603. Servicio de transporte por tuberías; 599 
2005;611. Servicio de transporte marítimo; 530 
2005;612. Servicio de transporte fluvial; 69 
2005;621. Servicio de transporte aéreo de cargas; 4 
2005;622. Servicio de transporte aéreo de pasajeros;-4.300 
2005;631. Servicios de manipulación de carga; 42 
2005;632. Servicios de almacenamiento y depósito; 34 
2005;633. Servicios complementarios para el transporte; 518 
2005;634. Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico; 125 
2005;635. Servicios de gestión y logística para el transporte de mercaderías; 119 
2005;641. Servicios de correos; 331 
2005;642. Servicios de telecomunicaciones; 7.279 
2005;J - Intermediación financiera y otros servicios financieros; 570 
2005;651. Intermediación monetaria y financiera de la banca central;-7 
2005;652. Intermediación monetaria y financiera de las entidades financieras bancarias y no bancarias;-3.156 
2005;659. Servicios financieros excepto los de la banca central y las entidades financieras; 3.738 
2005;661. Servicios de seguros; 54 
2005;662. Servicios de administración de fondos de jubilaciones y pensiones; 9 
2005;671. Servicios auxiliares a la actividad financiera, excepto a los servicios de seguros y de administración de fondos de jubilaciones y pensiones; 58 
2005;672. Servicios auxiliares a los servicios de seguros y de administración de fondos de jubilaciones y pensiones;-125 
2005;K - Servicios inmobiliarios, empresariales y de alquiler; 4.617 
2005;701. Servicios inmobiliarios realizados por cuenta propia, con bienes propios o arrendados; 2.098 
2005;702. Servicios inmobiliarios realizados a cambio de una retribución o por contrata; 389 
2005;711. Alquiler de equipo de transporte; 28 
2005;712. Alquiler de maquinaria y equipo n.c.p.; 10 
2005;713. Alquiler de efectos personales y enseres domésticos n.c.p.; 7 
2005;721. Servicios de consultores en equipo de informática; 2 
2005;722. Servicios de consultores en informática y suministros de programas de informática; 72 
2005;723. Procesamiento de datos; 151 
2005;724. Servicios relacionados con bases de datos; 26 
2005;725. Mantenimiento y reparación de maquinaria de oficina, contabilidad e informática; 1 
2005;729. Actividades de informática n.c.p.; 831 
2005;731. Investigación y desarrollo experimental en el campo de la ingeniería y de las ciencias exactas y naturales; 56 
2005;732. Investigación y desarrollo experimental en el campo de las ciencias sociales y las humanidades; 29 
2005;"741. Servicios jurídicos y de contabilidad, teneduría de libros y auditoría; asesoramiento en materia de impuestos; estudios de mercados y realización de encuestas de opinión pública; asesoramiento empresarial y en materia de gestión"; 113 
2005;742. Servicios de arquitectura e ingeniería y servicios técnicos n.c.p.; 72 
2005;743. Servicios de publicidad; 152 
2005;749. Servicios empresariales n.c.p.; 582 
2005;L - Administración pública, defensa y seguridad social obligatoria;-409 
2005;751. Servicios de la administración pública;-252 
2005;752. Prestación pública de servicios a la comunidad en general;-2 
2005;753. Servicios de la seguridad social obligatoria;-155 
2005;M - Enseñanza; 337 
2005;801. Enseñanza inicial y primaria; 7 
2005;802. Enseñanza secundaria; 224 
2005;803. Enseñanza superior y formación de posgrado; 113 
2005;809. Enseñanza para adultos y servicios de enseñanza n.c.p.;-7 
2005;N - Servicios sociales y de salud; 6 
2005;851. Servicios relacionados con la salud humana;-31 
2005;852. Servicios veterinarios; 5 
2005;853. Servicios sociales; 31 
2005;O - Servicios comunitarios, sociales y personales n.c.p.; 619 
2005;900. Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares; 60 
2005;911. Servicios de organizaciones empresariales, profesionales y de empleadores;-306 
2005;912. Servicios de sindicatos;-173 
2005;919. Servicios de asociaciones n.c.p.;-69 
2005;921. Servicios de cinematografía, radio y televisión y servicios de espectáculos artísticos y de diversión n.c.p.; 200 
2005;922. Servicios de agencias de noticias;-2 
2005;923. Servicios de bibliotecas, archivos y museos y servicios culturales n.c.p.; 1 
2005;924. Servicios para la práctica deportiva y de entretenimiento n.c.p.; 1.062 
2005;930. Servicios n.c.p.;-152 
2005;Otras actividades;-2 
2006;Reproductiva Privada Total; 54.939 
2006;A - Agricultura, ganadería, caza y silvicultura; 4.096 
2006;011. Cultivos agrícolas; 2.232 
2006;012. Cría de animales; 1.668 
2006;014. Servicios agrícolas y pecuarios, excepto los veterinarios; 138 
2006;015. Caza y captura de animales vivos, repoblación de animales de caza y servicios conexos; 0 
2006;020. Silvicultura, extracción de madera y servicios conexos; 57 
2006;B - Pesca y servicios conexos;-5 
2006;050. Pesca y servicios conexos;-5 
2006;C - Explotación de minas y canteras; 16.206 
2006;101. Extracción y aglomeración de carbón; 1 
2006;102. Extracción y aglomeración de lignito; -   
2006;103. Extracción y aglomeración de turba; 0 
2006;111. Extracción de petróleo crudo y gas natural; 15.699 
2006;112. Actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección; 154 
2006;120. Extracción de minerales y concentrados de uranio y torio; 0 
2006;131. Extracción de minerales de hierro;-27 
2006;132. Extracción de minerales metalíferos no ferrosos, excepto minerales de uranio y torio; 185 
2006;141. Extracción de piedra, arena y arcillas; 82 
2006;142. Explotación de minas y canteras n.c.p.; 111 
2006;D - Industria manufacturera; 11.479 
2006;151. Producción y procesamiento de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas; 1.929 
2006;152.Elaboración de productos lácteos; 213 
2006;153. Elaboración de productos de molinería, almidones y productos derivados del almidón y de alimentos preparados para animales; 139 
2006;154. Elaboración de productos alimenticios n.c.p.; 499 
2006;155. Elaboración de bebidas; 696 
2006;160. Elaboración de productos de tabaco; 41 
2006;171. Fabricación de hilados y tejidos, acabado de productos textiles; 272 
2006;172. Fabricación de productos textiles n.c.p.; 142 
2006;173. Fabricación de tejidos de punto y artículos de punto y ganchillo; 46 
2006;181. Confección de prendas de vestir, excepto prendas de piel; 58 
2006;"182. Terminación y teñido de pieles; fabricación de artículos de piel"; 0 
