periodo;molienda_cereales_y_oleaginosas;resto_de_alimentos;bebidas;tabaco;textil_indumentaria_y_cuero;madera_papel_y_edicion;refinacion_de_petroleo;quimicos;caucho_y_plastico;minerales_no_metalicos;metales_basicos;metalmecanica;automotriz;resto_de_industria;total_industria
1/7/2015;120827,21;142.156.865;44.349.422;2779,26;7.729.364.800.000.000;121.666.128;6.886.691.799.999.990;1.796.461.410.000.000;8.563.698.499.999.990;172.718.316;2.699.319.920.000.000;24.126.129;40.130.269;1.185.387;1.351.314.670.000.000
1/8/2015;119.633.444;139.300.168;46.208.945;2718,88;77.410.321;113.942.564;6.690.457.500.000.000;1.998.758.540.000.000;8.645.963.899.999.990;168.525.896;3.017.054.540.000.000;23.097.473;3.945.529.699.999.990;1.130.832;1.386.369.342
1/9/2015;111182,32;1.387.641.889.999.990;4.857.387.599.999.990;2744,85;7.859.683.200.000.000;1.158.530.359.999.990;6.961.253.299.999.990;1.956.305.080.000.000;8.708.319.199.999.990;179.993.852;2.637.746.139.999.990;23.993.227;40.817.229;1.203.422;1357823,68
1/10/2015;105.696.669;1.354.951.170.000.000;4.969.137.299.999.990;2657,66;7.825.189.900.000.000;1.191.919.989.999.990;6.857.390.000.000.000;2.062.515.080.000.000;8.570.952.500.000.000;187.038.534;3.128.394.390.000.000;2.310.463.400.000.000;3.889.090.399.999.990;1.033.801;1.414.426.962
1/11/2015;1.044.093.480.000.000;133.239.149;5.030.023.500.000.000;2650,28;7.906.526.999.999.990;118.160.618;6.847.989.599.999.990;2.052.056.410.000.000;8.794.803.599.999.990;180.758.093;2.806.765.109.999.990;23.250.507;3.857.871.099.999.990;1.154.733;1.373.877.028
1/12/2015;9.509.077.500.000.000;1.350.033.539.999.990;5.663.047.700.000.000;2820,65;6.772.116.499.999.990;1.113.233.719.999.990;7.223.776.100.000.000;2.094.942.199.999.990;7.835.546.400.000.000;176.789.584;228.701.132;20.831.448;34.590.542;1.119.799;1.290.709.743
1/1/2016;1.075.048.649.999.990;1.349.607.560.000.000;55.904.539;3128,05;5.796.188.400.000.000;113.356.404;7.232.579.299.999.990;2.059.734.699.999.990;7.832.328.099.999.990;163695,58;197.977.748;19085,69;32.623.525;1.168.826;1.243.990.411
1/2/2016;9.307.541.300.000.000;137.960.581;5.349.196.900.000.000;3257,75;7.323.212.500.000.000;108.642.302;6.796.352.400.000.000;1.957.615.010.000.000;7.740.093.700.000.000;1.618.890.139.999.990;2.026.870.330.000.000;2.077.402.600.000.000;36.714.482;1.151.553;1234002,21
1/3/2016;111.402.278;144.225.094;52.925.315;3601,39;7.825.839.500.000.000;105.219.881;7.295.425.100.000.000;205.201.819;8.543.519.200.000.000;168.703.189;184.226.846;2.204.154.600.000.000;41.612.012;1.076.207;1.276.883.415
1/4/2016;109.505.928;137.640.377;46.503.855;3579,02;7.466.713.300.000.000;110.607.604;7.005.021.000.000.000;199.255.121;8.322.818.399.999.990;1.656.943.980.000.000;182.934.114;22.087.248;38.821.001;1.119.355;1.245.693.548
1/5/2016;114.031.276;133.981.104;3.995.709.599.999.990;3328,27;7.036.899.899.999.990;109.770.423;70.264.982;2.051.003.829.999.990;7.914.932.200.000.000;162.042.772;215841,17;21.642.079;3.863.917.799.999.990;1.074.897;1.265.191.951
1/6/2016;1.132.873.090.000.000;128.059.536;34.130.894;2835,54;67.433.357;107.535.708;6.428.799.200.000.000;174.477.312;7.342.118.800.000.000;155.598.399;2.100.675.409.999.990;20.238.453;37.763.512;1.100.416;1.190.237.157
1/7/2016;1.074.644.629.999.990;131.757.951;4.058.661.900.000.000;2131,56;6.746.409.600.000.000;101.158.968;7.205.758.500.000.000;1.918.132.860.000.000;7.398.802.900.000.000;1.736.553.349.999.990;198.311.421;19.840.464;3.817.190.500.000.000;9.915.690.000.000.000;1.219.393.251
1/8/2016;108.340.588;1.386.536.220.000.000;4.480.083.700.000.000;2257,34;71.051.621;102.550.143;7.064.372.300.000.000;1.940.948.079.999.990;7.930.742.400.000.000;154.734.983;177.587.071;20.266.958;4.011.420.299.999.990;1.146.577;1.205.549.898
1/9/2016;107.436.407;1.310.041.690.000.000;4.780.621.799.999.990;2262,85;6.674.697.699.999.990;102.848.357;65.645.936;1.960.947.280.000.000;7.847.318.600.000.000;1.599.276.620.000.000;190.596.741;19.949.587;38.420.003;1.058.036;1.208.270.857
1/10/2016;101.581.253;1.296.354.680.000.000;4.940.074.700.000.000;1830,03;6.455.261.999.999.990;110.050.942;66.916.431;2.032.504.549.999.990;8.059.809.300.000.000;1.631.588.119.999.990;211.215.564;20.389.397;3.905.338.800.000.000;1065,82;1242699,02
1/11/2016;103.160.447;133950,1;5.084.597.700.000.000;2274,51;6.773.232.300.000.000;105.054.161;6.527.901.100.000.000;2.089.969.769.999.990;8.199.323.299.999.990;164.276.451;2.107.419.950.000.000;20592,05;4.126.988.800.000.000;1.071.434;1.257.238.557
1/12/2016;8.840.050.299.999.990;1.361.075.649.999.990;56.819.694;2504,24;5.424.114.299.999.990;9.739.936.399.999.990;6.450.376.900.000.000;207.526.153;7.897.083.200.000.000;166.984.998;185.246.973;18.451.794;3.972.890.299.999.990;1.264.246;1.198.150.177
1/1/2017;92.263.084;139.168.658;57.908.791;2981,77;5.386.145.799.999.990;9.918.331.500.000.010;6.925.305.100.000.000;217.626.513;7.843.641.399.999.990;1.514.168.340.000.000;1.518.224.740.000.000;17.271.105;32.691.704;1201,02;1.165.086.191
1/2/2017;9.028.127.599.999.990;135.739.294;5.123.278.599.999.990;2558,15;6.380.565.600.000.000;1.018.998.009.999.990;59.802.339;1.984.728.149.999.990;7.161.324.100.000.000;150687,32;1.667.033.389.999.990;19.076.283;34.216.528;1.156.661;1.147.245.489
1/3/2017;1.082.512.889.999.990;147.380.362;5.460.545.199.999.990;2727,84;71.848.162;106.753.537;6.739.929.000.000.000;2.208.462.810.000.000;8.277.158.800.000.000;1.671.025.150.000.000;2.347.413.050.000.000;21.469.422;4.145.579.000.000.000;1.237.197;1328590,03
1/4/2017;1.072.110.059.999.990;137.485.161;4.504.646.899.999.990;2232,6;6.548.444.600.000.000;102.569.727;6.497.515.900.000.000;210.377.752;7.866.341.600.000.000;164.550.125;220.542.287;20070,27;36.754.193;1.034.672;1.256.997.283
1/5/2017;1.130.134.200.000.000;131.584.436;4.261.982.399.999.990;2317,56;6.881.277.099.999.990;106799,8;6.706.764.900.000.000;210.653.267;80.860.216;166991,09;2.261.541.629.999.990;21.718.993;39.628.833;1.020.799;1.279.242.821
1/6/2017;107.201.426;1.336.694.540.000.000;3.894.344.300.000.000;2192,26;6.805.993.200.000.000;1.060.459.939.999.990;6.562.301.800.000.000;2.042.514.899.999.990;7.831.754.199.999.990;1.545.930.380.000.000;218159,81;21.536.924;3.972.720.399.999.990;9.861.759.999.999.990;1.239.307.711
1/7/2017;107.788.267;134.691.353;4.325.546.300.000.000;2389,19;6.965.846.000.000.000;112.048.224;6.033.181.999.999.990;2.000.616.310.000.000;7.890.088.300.000.000;1.665.137.480.000.000;231.958.083;2.215.354.099.999.990;38150,55;936.049;1.268.837.262
1/8/2017;103.676.153;139.193.514;45648,71;2482;7.016.326.899.999.990;1.115.554.209.999.990;66.544.982;2.124.997.820.000.000;8.256.428.700.000.000;1.718.279.000.000.000;2.368.691.900.000.000;22.915.196;39986,02;1.056.654;1.306.983.078
1/9/2017;93.550.878;133281,18;46.115.755;2370,48;6.947.250.600.000.000;110.007.238;6.192.214.400.000.000;208.945.545;8.224.157.199.999.990;1.699.175.349.999.990;2.566.432.189.999.990;21.345.236;3.868.287.199.999.990;9.616.589.999.999.990;1.295.457.819
1/10/2017;103.072.468;134.583.651;4.926.521.099.999.990;2330,03;6.899.216.600.000.000;1.103.796.530.000.000;6.221.230.300.000.000;2.136.331.190.000.000;8.213.753.900.000.000;180.294.996;249.521.549;21.559.924;3.925.036.399.999.990;9.484.010.000.000.000;1.318.181.374.000.000
1/11/2017;9.161.922.799.999.990;1.370.564.829.999.990;53.945.477;2334,17;7.047.972.400.000.000;107.693.235;51.449.438;2.077.106.849.999.990;8.152.310.599.999.990;178298,47;2.707.551.220.000.000;21.896.501;3.966.138.299.999.990;1.028.617;1.315.451.639
1/12/2017;7.777.247.899.999.990;134.811.086;5.687.529.900.000.000;2368,81;6.246.059.699.999.990;101.317.031;6.715.571.700.000.000;2.169.340.640.000.000;7.660.646.899.999.990;1.756.648.730.000.000;230.385.043;20.556.686;35.969.069;1.142.585;1.260.019.808
1/1/2018;8.844.248.499.999.990;138.987.603;5.887.873.199.999.990;2732,03;5.593.539.899.999.990;104.174.979;6.354.164.599.999.990;2.151.423.260.000.000;7.387.357.600.000.000;170.084.144;1.990.473.769.999.990;18.997.525;29.525.774;1.120.567;1.220.484.163
1/2/2018;8.812.199.500.000.000;1.361.219.290.000.000;50.737.084;2415,79;5.785.496.399.999.990;1.032.611.949.999.990;5.653.549.200.000.000;1.892.425.250.000.000;7.268.846.000.000.000;1.597.575.759.999.990;246.320.495;20.012.909;37920,12;1.227.476;1222218,01
1/3/2018;98.809.942;1.443.529.730.000.000;5.419.866.900.000.000;2517,76;68.433.628;111099,57;63.376.857;2.126.629.770.000.000;7.857.141.599.999.990;175.949.649;283.873.917;21.391.283;4.134.277.400.000.000;1.109.972;1.357.691.387
1/4/2018;100.648.362;1.450.629.080.000.000;4.839.019.099.999.990;2337,9;6.548.448.099.999.990;106.110.182;6.107.175.000.000.000;2.068.502.510.000.000;7.757.638.899.999.990;1.781.451.119.999.990;2.824.202.830.000.000;21.738.136;39.816.643;1237,99;1.336.890.578
1/5/2018;107.470.847;1.408.437.480.000.000;4.417.036.999.999.990;2240,3;6.287.586.399.999.990;107.334.864;57.285.385;2.100.649.609.999.990;7.760.354.500.000.000;174.178.422;2.868.186.070.000.000;2.051.262.899.999.990;38.795.594;1.245.167;1.331.440.303
1/6/2018;9.702.489.600.000.000;129.468.036;3.646.933.299.999.990;1887,07;60490,41;107266,49;6.028.301.500.000.000;187.113.671;6.974.762.500.000.000;1.620.085.499.999.990;2.677.806.990.000.000;18.578.819;3.607.750.399.999.990;1.199.835;1.235.395.953
1/7/2018;9.199.648.499.999.990;1.345.831.229.999.990;4.091.841.999.999.990;1990,89;6.073.283.699.999.990;1.043.398.350.000.000;62.980.665;1.823.425.310.000.000;6.944.785.599.999.990;154.445.134;273.585.577;19.260.133;3.801.458.300.000.000;1.223.968;1.235.862.037
1/8/2018;8.952.393.699.999.990;138.164.833;4.286.573.399.999.990;2007,93;6.018.536.299.999.990;104.640.585;68.136.243;188.549.241;7.366.897.899.999.990;167.031.137;2.830.657.019.999.990;20.415.712;39.711.089;1.277.523;1.279.244.008
1/9/2018;8.722.481.200.000.000;1.318.871.550.000.000;4.160.624.300.000.000;1892,61;5.615.079.100.000.000;102.843.982;7.035.172.200.000.000;192.966.731;7.070.643.800.000.000;168.476.591;2.642.075.249.999.990;17.608.229;34.855.071;1.172.069;1.241.949.969
1/10/2018;9.103.336.300.000.000;134.880.888;4.790.259.599.999.990;2099,33;5.404.242.699.999.990;1.044.716.850.000.000;6.379.381.600.000.000;202.397.493;7.065.053.600.000.000;1.669.783.859.999.990;279.036.172;1.815.824.499.999.990;3.666.625.999.999.990;1.086.478;1.273.197.675
1/11/2018;9.225.147.900.000.000;136038,56;4.762.915.200.000.000;2199,65;5.081.882.700.000.000;1.009.206.510.000.000;60.563.454;197679,59;6.957.895.599.999.990;1.620.907.659.999.990;281.040.749;18.672.311;3.581.318.000.000.000;1.125.192;1.256.422.517
1/12/2018;81.609.071;132.668.649;4.745.103.000.000.000;1902,3;39.761.862;9.242.064.500.000.000;65.287.905;207.476.393;6.285.952.599.999.990;164.200.065;1.770.669.970.000.000;1.714.191.599.999.990;2.841.144.800.000.000;1.097.457;1.119.355.264
